x,a_mu
0.009881943464279175,3.1689168940620393e-07
-0.3320440948009491,-1.126121376345418e-05
0.2362050712108612,-2.3628638732602564e-06
-0.025414347648620605,-3.3913203597541146e-06
0.05424591898918152,-1.0438410788695905e-06
-0.16544419527053833,-8.66622864734814e-06
0.018604010343551636,-7.756575532101653e-06
0.06275907158851624,-4.513243042044395e-06
0.012408137321472168,-7.004633006503603e-06
-0.05531102418899536,-7.004633006503603e-06
0.29479652643203735,1.0704421417743593e-05
-0.13223332166671753,2.390324081254787e-06
-0.1148574948310852,-5.1522559473351025e-06
0.08722978830337524,8.203354434284491e-07
-0.0170249342918396,-3.9297297427521614e-07
0.023541808128356934,1.3505683100174813e-06
-0.10059720277786255,-6.3811302071548696e-06
-0.06759369373321533,-1.176467752516452e-05
-0.005806565284729004,-1.2242453263450313e-05
-0.0031023025512695312,-1.2505863534978561e-05
-0.01707512140274048,-1.4008043348819994e-05
0.009197413921356201,-1.3171336654334411e-05
-0.05963134765625,-1.8753234758942363e-05
0.10569268465042114,-8.560456494823546e-06
0.03404170274734497,-5.1822093680469165e-06
-0.16370797157287598,-2.188083459172825e-05
-0.004372239112854004,-2.23367407246907e-05
-0.04400646686553955,-2.7068923483209827e-05
0.030024409294128418,-2.3751876130293254e-05
0.05159050226211548,-1.7910760857607187e-05
-0.0553932785987854,-2.4331967347242224e-05
-0.04111582040786743,-2.9211430503742788e-05
-0.08772021532058716,-3.9868883348537883e-05
0.05775630474090576,-3.26835867746242e-05
-0.04060018062591553,-3.7840031042265746e-05
-0.03981626033782959,-4.300698981345108e-05
0.030066728591918945,-3.9012074633453726e-05
-0.022260308265686035,-4.202223322541265e-05
0.06261336803436279,-3.336035858299473e-05
-0.06722795963287354,-4.28367458342193e-05
0.0013587474822998047,-4.263518270226668e-05
0.11265498399734497,-2.6114607514311973e-05
0.046986520290374756,-1.909221978922436e-05
-0.041955530643463135,-2.5472924760504253e-05
-0.0010958313941955566,-2.5638755842657662e-05
-0.06957072019577026,-3.6606582176420456e-05
0.058075904846191406,-2.7280395393457013e-05
-0.006668150424957275,-2.8364590219841234e-05
0.042340636253356934,-2.132981069572716e-05
-0.04421985149383545,-2.8790968182547555e-05
0.015267491340637207,-2.616638186834762e-05
-0.07758456468582153,-3.9689114391969955e-05
0.062334537506103516,-2.8122406207514676e-05
0.0028539299964904785,-2.8122406207514676e-05
0.0500757098197937,-1.8970129134387797e-05
-0.03514450788497925,-2.5483613197639312e-05
0.06723201274871826,-1.2825643653944518e-05
0.0320662260055542,-6.6995791998087265e-06
0.014163017272949219,-3.9544398819829325e-06
0.10312849283218384,1.631075833317331e-05
-0.044971585273742676,7.3464825952476135e-06
-0.033957719802856445,4.848084052500017e-07
0.0243721604347229,5.475693398724548e-06
0.046117186546325684,1.5045797003059508e-05
-0.07709234952926636,-1.1698954876953283e-06
-0.04597878456115723,-1.0965762128933155e-05
0.02757108211517334,-5.0131884655951394e-06
-0.02347087860107422,-2.368275423504418e-05
-0.06119108200073242,-2.368275423504418e-05
0.008694887161254883,-2.1729147872028236e-05
-0.06031090021133423,-3.540425882508121e-05
0.0831751823425293,-1.630116979329225e-05
-0.05652254819869995,-2.9428918659915503e-05
0.29929935932159424,4.093465640646004e-05
-0.2644771337509155,-2.1972299210692734e-05
0.24366140365600586,3.664865237976015e-05
-0.054849863052368164,2.329446957328664e-05
-0.043011248111724854,1.2705931188961825e-05
-0.01114743947982788,9.929419511261249e-06
0.03935879468917847,1.9826739596615884e-05
-0.012044131755828857,1.6759292306711462e-05
-0.020026743412017822,1.1608073003784595e-05
0.027589142322540283,1.877098132377172e-05
-0.01644754409790039,1.4449054629320138e-05
0.016775846481323242,1.8894228350202414e-05
-0.06855833530426025,5.200668322969209e-07
-0.05880469083786011,-1.539633917592796e-05
-0.05092042684555054,-2.9313318452246126e-05
0.023358583450317383,-2.2855513383185936e-05
0.0058675408363342285,-2.1213022123125345e-05
-0.17293918132781982,-6.990076375646785e-05
0.007592678070068359,-6.772238980095954e-05
-0.2564178705215454,-0.0001412968127510831
-1.2827587127685547,-0.0005129046548338588
0.6748150587081909,-0.00031540955476702567
-0.5615279674530029,-0.000481056330813971
1.9257869720458984,9.272607999756408e-05
1.291800618171692,0.00048099384663320515
-0.017888441681861877,0.0004754224812682448
-0.15196478366851807,0.00042877511510543804
0.2514963150024414,0.0005062825847964243
0.6279909014701843,0.0007016921087547158
-0.04074591398239136,0.0006886725393306142
0.3305358290672302,0.0007931758198249707
